127.0.0.1 - - [08/Mar/2021:23:16:25 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:27 +0900] "GET /VapeWeb/WEB-INF/board/communityenter.jsp HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:36 +0900] "GET /VapeWeb/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:36 +0900] "GET /VapeWeb/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:37 +0900] "GET /VapeWeb/img/logo.png;jsessionid=2CDAE6409E8161EF8F87F5A7CACD5798 HTTP/1.1" 200 6939
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:37 +0900] "GET /VapeWeb/js/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:37 +0900] "GET /VapeWeb/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:37 +0900] "GET /VapeWeb/img/main1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:37 +0900] "GET /VapeWeb/img/main2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:37 +0900] "GET /VapeWeb/img/main3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:37 +0900] "GET /VapeWeb/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:37 +0900] "GET /VapeWeb/main.do HTTP/1.1" 200 9000
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:37 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:16:39 +0900] "GET /VapeWeb/communityListAction.do?page=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:27 +0900] "GET /VapeWeb/main.do HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:27 +0900] "GET /VapeWeb/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:27 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:28 +0900] "GET /VapeWeb/communityListAction.do?page=1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:48 +0900] "GET /VapeWeb/main.do HTTP/1.1" 200 8956
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:49 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:53 +0900] "GET /VapeWeb/communityListAction.do?page=1 HTTP/1.1" 200 11351
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:53 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:55 +0900] "GET /VapeWeb/communityListAction.do?page=5 HTTP/1.1" 200 12015
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:55 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:57 +0900] "GET /VapeWeb/communityListAction.do?page=9 HTTP/1.1" 200 12023
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:57 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:58 +0900] "GET /VapeWeb/communityListAction.do?page=13 HTTP/1.1" 200 12041
0:0:0:0:0:0:0:1 - - [08/Mar/2021:23:17:58 +0900] "GET /VapeWeb/%3Cc:url%20value= HTTP/1.1" 404 836
